BoroName	BoroCode	Year	Mother's Single Race 6	Source of Payment for Delivery	Births
Manhattan	1	2018	Asian	Medicaid	Suppressed
Manhattan	1	2018	Asian	Private Insurance	28
Manhattan	1	2018	Asian	Self Pay	Suppressed
Manhattan	1	2018	Black or African American	Medicaid	68
Manhattan	1	2018	Black or African American	Private Insurance	28
Manhattan	1	2018	Black or African American	Self Pay	Suppressed
Manhattan	1	2018	White	Medicaid	63
Manhattan	1	2018	White	Private Insurance	111
Manhattan	1	2018	White	Self Pay	Suppressed
Manhattan	1	2019	Asian	Medicaid	Suppressed
Manhattan	1	2019	Asian	Private Insurance	28
Manhattan	1	2019	Asian	Self Pay	Suppressed
Manhattan	1	2019	Black or African American	Medicaid	66
Manhattan	1	2019	Black or African American	Private Insurance	22
Manhattan	1	2019	Black or African American	Self Pay	Suppressed
Manhattan	1	2019	White	Medicaid	54
Manhattan	1	2019	White	Private Insurance	85
Manhattan	1	2019	White	Self Pay	Suppressed
Manhattan	1	2020	Asian	Medicaid	Suppressed
Manhattan	1	2020	Asian	Private Insurance	30
Manhattan	1	2020	Asian	Self Pay	Suppressed
Manhattan	1	2020	Black or African American	Medicaid	59
Manhattan	1	2020	Black or African American	Private Insurance	32
Manhattan	1	2020	Black or African American	Self Pay	Suppressed
Manhattan	1	2020	White	Medicaid	49
Manhattan	1	2020	White	Private Insurance	83
Manhattan	1	2020	White	Self Pay	Suppressed
Manhattan	1	2021	Asian	Medicaid	Suppressed
Manhattan	1	2021	Asian	Private Insurance	22
Manhattan	1	2021	Asian	Self Pay	Suppressed
Manhattan	1	2021	Black or African American	Medicaid	54
Manhattan	1	2021	Black or African American	Private Insurance	34
Manhattan	1	2021	Black or African American	Self Pay	Suppressed
Manhattan	1	2021	White	Medicaid	50
Manhattan	1	2021	White	Private Insurance	82
Manhattan	1	2021	White	Self Pay	Suppressed
Queens	4	2016	Asian	Medicaid	107
Queens	4	2016	Asian	Private Insurance	54
Queens	4	2016	Asian	Self Pay	Suppressed
Queens	4	2016	Black or African American	Medicaid	108
Queens	4	2016	Black or African American	Private Insurance	85
Queens	4	2016	Black or African American	Self Pay	Suppressed
Queens	4	2016	White	Medicaid	126
Queens	4	2016	White	Private Insurance	68
Queens	4	2016	White	Self Pay	Suppressed
Queens	4	2017	Asian	Medicaid	116
Queens	4	2017	Asian	Private Insurance	73
Queens	4	2017	Asian	Self Pay	Suppressed
Queens	4	2017	Black or African American	Medicaid	103
Queens	4	2017	Black or African American	Private Insurance	76
Queens	4	2017	Black or African American	Self Pay	Suppressed
Queens	4	2017	White	Medicaid	125
Queens	4	2017	White	Private Insurance	68
Queens	4	2017	White	Self Pay	Suppressed
Queens	4	2018	Asian	Medicaid	111
Queens	4	2018	Asian	Private Insurance	61
Queens	4	2018	Asian	Self Pay	Suppressed
Queens	4	2018	Black or African American	Medicaid	120
Queens	4	2018	Black or African American	Private Insurance	70
Queens	4	2018	Black or African American	Self Pay	Suppressed
Queens	4	2018	White	Medicaid	119
Queens	4	2018	White	Private Insurance	87
Queens	4	2018	White	Self Pay	Suppressed
Queens	4	2019	Asian	Medicaid	113
Queens	4	2019	Asian	Private Insurance	70
Queens	4	2019	Asian	Self Pay	Suppressed
Queens	4	2019	Black or African American	Medicaid	99
Queens	4	2019	Black or African American	Private Insurance	71
Queens	4	2019	Black or African American	Self Pay	Suppressed
Queens	4	2019	White	Medicaid	126
Queens	4	2019	White	Private Insurance	78
Queens	4	2019	White	Self Pay	Suppressed
Queens	4	2020	Asian	Medicaid	89
Queens	4	2020	Asian	Private Insurance	66
Queens	4	2020	Asian	Self Pay	Suppressed
Queens	4	2020	Black or African American	Medicaid	103
Queens	4	2020	Black or African American	Private Insurance	56
Queens	4	2020	Black or African American	Self Pay	Suppressed
Queens	4	2020	White	Medicaid	115
Queens	4	2020	White	Private Insurance	71
Queens	4	2020	White	Self Pay	Suppressed
Queens	4	2021	Asian	Medicaid	95
Queens	4	2021	Asian	Private Insurance	61
Queens	4	2021	Asian	Self Pay	Suppressed
Queens	4	2021	Black or African American	Medicaid	103
Queens	4	2021	Black or African American	Private Insurance	68
Queens	4	2021	Black or African American	Self Pay	Suppressed
Queens	4	2021	White	Medicaid	124
Queens	4	2021	White	Private Insurance	81
Queens	4	2021	White	Self Pay	Suppressed
Staten Island	5	2016	Asian	Medicaid	Suppressed
Staten Island	5	2016	Asian	Private Insurance	Suppressed
Staten Island	5	2016	Asian	Self Pay	Suppressed
Staten Island	5	2016	Black or African American	Medicaid	15
Staten Island	5	2016	Black or African American	Private Insurance	Suppressed
Staten Island	5	2016	Black or African American	Self Pay	Suppressed
Staten Island	5	2016	White	Medicaid	22
Staten Island	5	2016	White	Private Insurance	19
Staten Island	5	2016	White	Self Pay	Suppressed
Staten Island	5	2017	Asian	Medicaid	Suppressed
Staten Island	5	2017	Asian	Private Insurance	Suppressed
Staten Island	5	2017	Asian	Self Pay	Suppressed
Staten Island	5	2017	Black or African American	Medicaid	18
Staten Island	5	2017	Black or African American	Private Insurance	Suppressed
Staten Island	5	2017	Black or African American	Self Pay	Suppressed
Staten Island	5	2017	White	Medicaid	24
Staten Island	5	2017	White	Private Insurance	30
Staten Island	5	2017	White	Self Pay	Suppressed
Staten Island	5	2018	Asian	Medicaid	Suppressed
Staten Island	5	2018	Asian	Private Insurance	Suppressed
Staten Island	5	2018	Asian	Self Pay	Suppressed
Staten Island	5	2018	Black or African American	Medicaid	19
Staten Island	5	2018	Black or African American	Private Insurance	Suppressed
Staten Island	5	2018	Black or African American	Self Pay	Suppressed
Staten Island	5	2018	White	Medicaid	31
Staten Island	5	2018	White	Private Insurance	23
Staten Island	5	2018	White	Self Pay	Suppressed
Staten Island	5	2019	Asian	Medicaid	Suppressed
Staten Island	5	2019	Asian	Private Insurance	Suppressed
Staten Island	5	2019	Asian	Self Pay	Suppressed
Staten Island	5	2019	Black or African American	Medicaid	26
Staten Island	5	2019	Black or African American	Private Insurance	Suppressed
Staten Island	5	2019	Black or African American	Self Pay	Suppressed
Staten Island	5	2019	White	Medicaid	29
Staten Island	5	2019	White	Private Insurance	24
Staten Island	5	2019	White	Self Pay	Suppressed
Staten Island	5	2020	Asian	Medicaid	Suppressed
Staten Island	5	2020	Asian	Private Insurance	Suppressed
Staten Island	5	2020	Asian	Self Pay	Suppressed
Staten Island	5	2020	Black or African American	Medicaid	16
Staten Island	5	2020	Black or African American	Private Insurance	Suppressed
Staten Island	5	2020	Black or African American	Self Pay	Suppressed
Staten Island	5	2020	White	Medicaid	28
Staten Island	5	2020	White	Private Insurance	29
Staten Island	5	2020	White	Self Pay	Suppressed
Staten Island	5	2021	Asian	Medicaid	Suppressed
Staten Island	5	2021	Asian	Private Insurance	Suppressed
Staten Island	5	2021	Asian	Self Pay	Suppressed
Staten Island	5	2021	Black or African American	Medicaid	22
Staten Island	5	2021	Black or African American	Private Insurance	Suppressed
Staten Island	5	2021	Black or African American	Self Pay	Suppressed
Staten Island	5	2021	White	Medicaid	26
Staten Island	5	2021	White	Private Insurance	31
Staten Island	5	2021	White	Self Pay	Suppressed
