Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Plurality	Plurality Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Year	Year Code	Births
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	500 - 999 grams	2	2021	2021	11
	"Albany County, NY"	36001	White	2106-3	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	1000 - 1499 grams	3	2016	2016	14
	"Bronx County, NY"	36005	Asian	A	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	1000 - 1499 grams	3	2018	2018	11
	"Bronx County, NY"	36005	Asian	A	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	500 - 999 grams	2	2016	2016	81
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	500 - 999 grams	2	2017	2017	70
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	500 - 999 grams	2	2018	2018	66
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	500 - 999 grams	2	2019	2019	88
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	500 - 999 grams	2	2020	2020	72
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	500 - 999 grams	2	2021	2021	89
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2016	2016	81
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2017	2017	104
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2018	2018	83
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2019	2019	85
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2020	2020	90
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2021	2021	71
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Single	1	500 - 999 grams	2	2016	2016	48
	"Bronx County, NY"	36005	White	2106-3	Single	1	500 - 999 grams	2	2017	2017	40
	"Bronx County, NY"	36005	White	2106-3	Single	1	500 - 999 grams	2	2018	2018	42
	"Bronx County, NY"	36005	White	2106-3	Single	1	500 - 999 grams	2	2019	2019	41
	"Bronx County, NY"	36005	White	2106-3	Single	1	500 - 999 grams	2	2020	2020	45
	"Bronx County, NY"	36005	White	2106-3	Single	1	500 - 999 grams	2	2021	2021	28
	"Bronx County, NY"	36005	White	2106-3	Single	1	1000 - 1499 grams	3	2016	2016	69
	"Bronx County, NY"	36005	White	2106-3	Single	1	1000 - 1499 grams	3	2017	2017	49
	"Bronx County, NY"	36005	White	2106-3	Single	1	1000 - 1499 grams	3	2018	2018	55
	"Bronx County, NY"	36005	White	2106-3	Single	1	1000 - 1499 grams	3	2019	2019	55
	"Bronx County, NY"	36005	White	2106-3	Single	1	1000 - 1499 grams	3	2020	2020	52
	"Bronx County, NY"	36005	White	2106-3	Single	1	1000 - 1499 grams	3	2021	2021	47
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Dutchess County, NY"	36027	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Dutchess County, NY"	36027	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Dutchess County, NY"	36027	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
