Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Year	Year Code	Births
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	2000 - 2499 grams	5	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	2500 - 2999 grams	6	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	3000 - 3499 grams	7	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	3500 - 3999 grams	8	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	4000 - 4499 grams	9	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	4500 - 4999 grams	10	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Unknown or Not Stated	9	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	24
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	30
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	12
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	24
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	138
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2020	2020	175
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	105
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	23
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	2000 - 2499 grams	5	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	2500 - 2999 grams	6	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	3000 - 3499 grams	7	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	3500 - 3999 grams	8	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	4000 - 4499 grams	9	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	4500 - 4999 grams	10	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Unknown or Not Stated	9	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	30
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	43
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	38
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	16
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	51
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	231
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2020	2020	589
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	507
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	131
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	19
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	499 grams or less	1	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	1500 - 1999 grams	4	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	2000 - 2499 grams	5	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	2500 - 2999 grams	6	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	3000 - 3499 grams	7	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	3500 - 3999 grams	8	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	4000 - 4499 grams	9	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	4500 - 4999 grams	10	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	5000 - 8165 grams	11	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Unknown or Not Stated	9	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	13
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	32
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	18
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	14
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	83
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	302
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2020	2020	369
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	155
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	22
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	1500 - 1999 grams	4	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	2000 - 2499 grams	5	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	2500 - 2999 grams	6	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	3000 - 3499 grams	7	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	3500 - 3999 grams	8	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	4000 - 4499 grams	9	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	4500 - 4999 grams	10	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Unknown or Not Stated	9	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	27
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	31
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	58
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	200
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	688
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	1364
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	785
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	195
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	19
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	45
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	59
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	85
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	311
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	1138
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2020	2020	1941
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	982
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	208
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	22
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	1500 - 1999 grams	4	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	2000 - 2499 grams	5	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	2500 - 2999 grams	6	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	3000 - 3499 grams	7	2020	2020	17
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	3500 - 3999 grams	8	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	4000 - 4499 grams	9	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	4500 - 4999 grams	10	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Unknown or Not Stated	9	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	44
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	46
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	81
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	310
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	1255
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	2553
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	1561
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	373
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	38
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	12
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	49
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	239
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2020	2020	564
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	365
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	88
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	13
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	499 grams or less	1	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	500 - 999 grams	2	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	1000 - 1499 grams	3	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	1500 - 1999 grams	4	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	2000 - 2499 grams	5	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	2500 - 2999 grams	6	2020	2020	10
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	3000 - 3499 grams	7	2020	2020	12
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	3500 - 3999 grams	8	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	4000 - 4499 grams	9	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	4500 - 4999 grams	10	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	5000 - 8165 grams	11	2020	2020	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Unknown or Not Stated	9	Unknown or Not Stated	12	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
