"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"St. Lawrence County, NY"	"36089"	"11 to 20 pounds"	"2"	35
	"St. Lawrence County, NY"	"36089"	"21 to 30 pounds"	"3"	28
	"St. Lawrence County, NY"	"36089"	"31 to 40 pounds"	"4"	13
	"St. Lawrence County, NY"	"36089"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Unknown or Not Stated"	"9"	Suppressed
	"Saratoga County, NY"	"36091"	"Less than 11 pounds"	"1"	29
	"Saratoga County, NY"	"36091"	"11 to 20 pounds"	"2"	42
	"Saratoga County, NY"	"36091"	"21 to 30 pounds"	"3"	69
	"Saratoga County, NY"	"36091"	"31 to 40 pounds"	"4"	38
	"Saratoga County, NY"	"36091"	"41 to 98 pounds"	"5"	15
	"Saratoga County, NY"	"36091"	"Unknown or Not Stated"	"9"	Suppressed
	"Schenectady County, NY"	"36093"	"Less than 11 pounds"	"1"	43
	"Schenectady County, NY"	"36093"	"11 to 20 pounds"	"2"	74
	"Schenectady County, NY"	"36093"	"21 to 30 pounds"	"3"	59
	"Schenectady County, NY"	"36093"	"31 to 40 pounds"	"4"	32
	"Schenectady County, NY"	"36093"	"41 to 98 pounds"	"5"	15
	"Schenectady County, NY"	"36093"	"Unknown or Not Stated"	"9"	24
	"Suffolk County, NY"	"36103"	"Less than 11 pounds"	"1"	215
	"Suffolk County, NY"	"36103"	"11 to 20 pounds"	"2"	362
	"Suffolk County, NY"	"36103"	"21 to 30 pounds"	"3"	534
	"Suffolk County, NY"	"36103"	"31 to 40 pounds"	"4"	300
	"Suffolk County, NY"	"36103"	"41 to 98 pounds"	"5"	232
	"Suffolk County, NY"	"36103"	"Unknown or Not Stated"	"9"	209
	"Tompkins County, NY"	"36109"	"Less than 11 pounds"	"1"	Suppressed
	"Tompkins County, NY"	"36109"	"11 to 20 pounds"	"2"	21
	"Tompkins County, NY"	"36109"	"21 to 30 pounds"	"3"	21
	"Tompkins County, NY"	"36109"	"31 to 40 pounds"	"4"	10
	"Tompkins County, NY"	"36109"	"41 to 98 pounds"	"5"	Suppressed
	"Tompkins County, NY"	"36109"	"Unknown or Not Stated"	"9"	Suppressed
	"Ulster County, NY"	"36111"	"Less than 11 pounds"	"1"	31
	"Ulster County, NY"	"36111"	"11 to 20 pounds"	"2"	50
	"Ulster County, NY"	"36111"	"21 to 30 pounds"	"3"	42
	"Ulster County, NY"	"36111"	"31 to 40 pounds"	"4"	23
	"Ulster County, NY"	"36111"	"41 to 98 pounds"	"5"	14
	"Ulster County, NY"	"36111"	"Unknown or Not Stated"	"9"	12
	"Westchester County, NY"	"36119"	"Less than 11 pounds"	"1"	122
	"Westchester County, NY"	"36119"	"11 to 20 pounds"	"2"	311
	"Westchester County, NY"	"36119"	"21 to 30 pounds"	"3"	390
	"Westchester County, NY"	"36119"	"31 to 40 pounds"	"4"	221
	"Westchester County, NY"	"36119"	"41 to 98 pounds"	"5"	96
	"Westchester County, NY"	"36119"	"Unknown or Not Stated"	"9"	38
	"Unidentified Counties, NY"	"36999"	"Less than 11 pounds"	"1"	330
	"Unidentified Counties, NY"	"36999"	"11 to 20 pounds"	"2"	470
	"Unidentified Counties, NY"	"36999"	"21 to 30 pounds"	"3"	531
	"Unidentified Counties, NY"	"36999"	"31 to 40 pounds"	"4"	292
	"Unidentified Counties, NY"	"36999"	"41 to 98 pounds"	"5"	165
	"Unidentified Counties, NY"	"36999"	"Unknown or Not Stated"	"9"	93
"---"
"Dataset: Natality, 2016-2021 expanded"
"Query Parameters:"
"Infant Birth Weight 12: 500 - 999 grams; 1000 - 1499 grams; 1500 - 1999 grams; 2000 - 2499 grams"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
"Mother's Single Race 6: Asian; Black or African American; White"
"OE Gestational Age Recode 11: 37-38 weeks; 39 weeks; 40 weeks"
"Plurality: Single"
"States: New York (36)"
"Group By: County of Residence; Mother's Weight Gain Recode"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Apr 6, 2023 9:17:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2021, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Apr 6, 2023 9:17:51 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"5. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"6. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"7. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"8. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
