"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	20
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	41
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	40
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	25
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	17
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	16
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	16
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	35
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	98
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	119
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	39
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	12
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	51
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	154
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	162
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	102
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	70
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	155
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	318
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	385
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	168
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	103
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	14
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	127
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	262
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	366
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	163
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	127
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	17
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	60
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	82
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	31
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	21
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	29
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	41
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	44
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	30
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	18
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	10
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	14
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	34
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	37
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	22
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	11
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	15
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	21
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	23
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	11
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	11
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	13
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	18
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	26
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	39
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	26
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	12
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	38
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	28
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	17
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	21
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
