"Name","Live Births to Mothers on Medicaid"
"Description","The percentage of births to mothers on Medicaid.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, Bureau of Vital Statistics, Summary of Vital Statistics (2000-2019); retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/doh/data/data-publications/periodic-publications.page"" target=""_blank"">https://www1.nyc.gov/site/doh/data/data-publications/periodic-publications.page</a>.<a href=""https://www1.nyc.gov/assets/doh/downloads/pdf/vs/2017sum.pdf"" target=""_blank""></a><a href=""https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page"" target=""_blank""></a>"
"Notes","Since 2008 ""On Medicaid"" also includes Family Health Plus, Other government, and Child Health Plus B."

Location,TimeFrame,DataFormat,Data,Fips
Midtown Business District,2008,Percent,0.11,105
Midtown Business District,2007,Percent,0.113,105
Midtown Business District,2006,Percent,0.127,105
Midtown Business District,2005,Percent,0.121,105
Murray Hill/Stuyvesant,2005,Percent,0.057,106
Murray Hill/Stuyvesant,2006,Percent,0.057,106
Murray Hill/Stuyvesant,2007,Percent,0.043,106
Murray Hill/Stuyvesant,2008,Percent,0.053,106
Murray Hill/Stuyvesant,2017,Percent,0.073,106
Murray Hill/Stuyvesant,2009,Percent,0.074,106
Murray Hill/Stuyvesant,2010,Percent,0.062,106
Murray Hill/Stuyvesant,2011,Percent,0.069,106
Murray Hill/Stuyvesant,2012,Percent,0.074,106
Murray Hill/Stuyvesant,2013,Percent,0.054,106
Murray Hill/Stuyvesant,2014,Percent,0.067,106
Murray Hill/Stuyvesant,2015,Percent,0.066,106
Murray Hill/Stuyvesant,2016,Percent,0.086,106
Murray Hill/Stuyvesant,2018,Percent,0.063,106
Murray Hill/Stuyvesant,2019,Percent,0.064,106
Upper West Side,2019,Percent,0.118,107
Upper West Side,2018,Percent,0.121,107
Upper West Side,2016,Percent,0.12,107
Upper West Side,2015,Percent,0.113,107
Upper West Side,2014,Percent,0.122,107
Upper West Side,2013,Percent,0.114,107
Upper West Side,2012,Percent,0.11,107
Upper West Side,2011,Percent,0.131,107
Upper West Side,2010,Percent,0.133,107
Upper West Side,2009,Percent,0.126,107
Upper West Side,2017,Percent,0.124,107
Upper West Side,2008,Percent,0.137,107
Upper West Side,2007,Percent,0.112,107
Upper West Side,2006,Percent,0.124,107
Upper West Side,2005,Percent,0.133,107
Upper East Side,2005,Percent,0.055,108
Upper East Side,2006,Percent,0.058,108
Upper East Side,2007,Percent,0.042,108
Upper East Side,2008,Percent,0.059,108
Upper East Side,2017,Percent,0.055,108
Upper East Side,2009,Percent,0.067,108
Upper East Side,2010,Percent,0.071,108
Upper East Side,2011,Percent,0.062,108
Upper East Side,2012,Percent,0.065,108
Upper East Side,2013,Percent,0.058,108
Upper East Side,2014,Percent,0.054,108
Upper East Side,2015,Percent,0.054,108
Upper East Side,2016,Percent,0.055,108
Upper East Side,2018,Percent,0.058,108
Upper East Side,2019,Percent,0.045,108
Manhattanville,2019,Percent,0.598,109
Manhattanville,2018,Percent,0.604,109
Manhattanville,2016,Percent,0.614,109
Manhattanville,2015,Percent,0.617,109
Manhattanville,2014,Percent,0.65,109
Manhattanville,2013,Percent,0.649,109
Manhattanville,2012,Percent,0.645,109
Manhattanville,2011,Percent,0.657,109
Manhattanville,2010,Percent,0.659,109
Manhattanville,2009,Percent,0.654,109
Manhattanville,2017,Percent,0.639,109
Manhattanville,2008,Percent,0.644,109
Manhattanville,2007,Percent,0.647,109
Manhattanville,2006,Percent,0.681,109
Manhattanville,2005,Percent,0.712,109
Central Harlem,2005,Percent,0.725,110
Central Harlem,2006,Percent,0.717,110
Central Harlem,2007,Percent,0.643,110
Central Harlem,2008,Percent,0.666,110
Central Harlem,2017,Percent,0.607,110
Central Harlem,2009,Percent,0.659,110
Central Harlem,2010,Percent,0.656,110
Central Harlem,2011,Percent,0.65,110
Central Harlem,2012,Percent,0.634,110
Central Harlem,2013,Percent,0.641,110
Central Harlem,2014,Percent,0.624,110
Central Harlem,2015,Percent,0.608,110
Central Harlem,2016,Percent,0.596,110
Central Harlem,2018,Percent,0.601,110
Central Harlem,2019,Percent,0.541,110
East Harlem,2019,Percent,0.62,111
East Harlem,2018,Percent,0.622,111
East Harlem,2016,Percent,0.673,111
East Harlem,2015,Percent,0.675,111
East Harlem,2014,Percent,0.67,111
East Harlem,2013,Percent,0.686,111
East Harlem,2012,Percent,0.695,111
East Harlem,2011,Percent,0.717,111
East Harlem,2010,Percent,0.716,111
East Harlem,2009,Percent,0.753,111
East Harlem,2017,Percent,0.642,111
East Harlem,2008,Percent,0.742,111
East Harlem,2007,Percent,0.708,111
East Harlem,2006,Percent,0.755,111
East Harlem,2005,Percent,0.735,111
Washington Heights,2005,Percent,0.733,112
Washington Heights,2006,Percent,0.737,112
Washington Heights,2007,Percent,0.705,112
Washington Heights,2008,Percent,0.695,112
Washington Heights,2017,Percent,0.662,112
Washington Heights,2009,Percent,0.694,112
Washington Heights,2010,Percent,0.698,112
Washington Heights,2011,Percent,0.69,112
Washington Heights,2012,Percent,0.684,112
Washington Heights,2013,Percent,0.662,112
Washington Heights,2014,Percent,0.681,112
Washington Heights,2015,Percent,0.67,112
Washington Heights,2016,Percent,0.673,112
Washington Heights,2018,Percent,0.662,112
Washington Heights,2019,Percent,0.643,112
Bronx,2018,Percent,0.822,36005
Bronx,2007,Percent,0.676,36005
Bronx,2008,Percent,0.769,36005
Bronx,2009,Percent,0.785,36005
Bronx,2010,Percent,0.785,36005
Bronx,2005,Percent,0.681,36005
Bronx,2006,Percent,0.682,36005
Bronx,2017,Percent,0.823,36005
Bronx,2011,Percent,0.792,36005
Bronx,2012,Percent,0.795,36005
Bronx,2013,Percent,0.802,36005
Bronx,2014,Percent,0.807,36005
Bronx,2015,Percent,0.815,36005
Bronx,2019,Percent,0.811,36005
Bronx,2016,Percent,0.826,36005
Mott Haven,2017,Percent,0.881,201
Mott Haven,2008,Percent,0.87,201
Mott Haven,2007,Percent,0.798,201
Mott Haven,2006,Percent,0.815,201
Mott Haven,2005,Percent,0.806,201
Mott Haven,2018,Percent,0.863,201
Mott Haven,2019,Percent,0.853,201
Mott Haven,2016,Percent,0.881,201
Mott Haven,2015,Percent,0.881,201
Mott Haven,2014,Percent,0.882,201
Mott Haven,2013,Percent,0.871,201
Mott Haven,2012,Percent,0.877,201
Mott Haven,2011,Percent,0.862,201
Mott Haven,2010,Percent,0.871,201
Mott Haven,2009,Percent,0.877,201
Hunts Point,2009,Percent,0.863,202
Hunts Point,2010,Percent,0.837,202
Hunts Point,2011,Percent,0.851,202
Hunts Point,2012,Percent,0.873,202
Hunts Point,2013,Percent,0.86,202
Hunts Point,2014,Percent,0.877,202
Hunts Point,2015,Percent,0.857,202
Hunts Point,2016,Percent,0.882,202
Hunts Point,2019,Percent,0.848,202
Hunts Point,2018,Percent,0.881,202
Hunts Point,2005,Percent,0.772,202
Hunts Point,2006,Percent,0.773,202
Hunts Point,2007,Percent,0.752,202
Hunts Point,2008,Percent,0.861,202
Hunts Point,2017,Percent,0.883,202
Morrisania,2017,Percent,0.858,203
Morrisania,2008,Percent,0.825,203
Morrisania,2007,Percent,0.658,203
Morrisania,2006,Percent,0.647,203
Morrisania,2005,Percent,0.649,203
Morrisania,2018,Percent,0.87,203
Morrisania,2019,Percent,0.854,203
Morrisania,2016,Percent,0.869,203
Morrisania,2015,Percent,0.87,203
Morrisania,2014,Percent,0.857,203
Morrisania,2013,Percent,0.843,203
Morrisania,2012,Percent,0.832,203
Morrisania,2011,Percent,0.832,203
Morrisania,2010,Percent,0.847,203
Morrisania,2009,Percent,0.843,203
Concourse/Highbridge,2009,Percent,0.835,204
Concourse/Highbridge,2010,Percent,0.827,204
Concourse/Highbridge,2011,Percent,0.832,204
Concourse/Highbridge,2012,Percent,0.845,204
Concourse/Highbridge,2013,Percent,0.839,204
Concourse/Highbridge,2014,Percent,0.869,204
Concourse/Highbridge,2015,Percent,0.858,204
Concourse/Highbridge,2016,Percent,0.872,204
Concourse/Highbridge,2019,Percent,0.858,204
Concourse/Highbridge,2018,Percent,0.867,204
Concourse/Highbridge,2005,Percent,0.721,204
Concourse/Highbridge,2006,Percent,0.692,204
Concourse/Highbridge,2007,Percent,0.675,204
Concourse/Highbridge,2008,Percent,0.83,204
Concourse/Highbridge,2017,Percent,0.883,204
University Heights,2017,Percent,0.883,205
University Heights,2008,Percent,0.84,205
University Heights,2007,Percent,0.63,205
University Heights,2006,Percent,0.644,205
University Heights,2005,Percent,0.638,205
University Heights,2018,Percent,0.881,205
University Heights,2019,Percent,0.863,205
University Heights,2016,Percent,0.888,205
University Heights,2015,Percent,0.882,205
University Heights,2014,Percent,0.878,205
University Heights,2013,Percent,0.86,205
University Heights,2012,Percent,0.864,205
University Heights,2011,Percent,0.849,205
University Heights,2010,Percent,0.828,205
University Heights,2009,Percent,0.851,205
East Tremont,2009,Percent,0.846,206
East Tremont,2010,Percent,0.859,206
East Tremont,2011,Percent,0.855,206
East Tremont,2012,Percent,0.872,206
East Tremont,2013,Percent,0.896,206
East Tremont,2014,Percent,0.885,206
East Tremont,2015,Percent,0.894,206
East Tremont,2016,Percent,0.887,206
East Tremont,2019,Percent,0.889,206
East Tremont,2018,Percent,0.89,206
East Tremont,2005,Percent,0.602,206
East Tremont,2006,Percent,0.623,206
East Tremont,2007,Percent,0.635,206
East Tremont,2008,Percent,0.842,206
East Tremont,2017,Percent,0.884,206
Bedford Park,2017,Percent,0.859,207
Bedford Park,2008,Percent,0.779,207
Bedford Park,2007,Percent,0.716,207
Bedford Park,2006,Percent,0.738,207
Bedford Park,2005,Percent,0.721,207
Bedford Park,2018,Percent,0.843,207
Bedford Park,2019,Percent,0.83,207
Bedford Park,2016,Percent,0.853,207
Bedford Park,2015,Percent,0.839,207
Bedford Park,2014,Percent,0.834,207
Bedford Park,2013,Percent,0.831,207
Bedford Park,2012,Percent,0.822,207
Bedford Park,2011,Percent,0.823,207
Bedford Park,2010,Percent,0.804,207
Bedford Park,2009,Percent,0.803,207
Riverdale,2009,Percent,0.525,208
Riverdale,2010,Percent,0.545,208
Riverdale,2011,Percent,0.534,208
Riverdale,2012,Percent,0.537,208
Riverdale,2013,Percent,0.533,208
Riverdale,2014,Percent,0.564,208
Riverdale,2015,Percent,0.564,208
Riverdale,2016,Percent,0.541,208
Riverdale,2019,Percent,0.584,208
Riverdale,2018,Percent,0.582,208
Riverdale,2005,Percent,0.483,208
Riverdale,2006,Percent,0.518,208
Riverdale,2007,Percent,0.481,208
Riverdale,2008,Percent,0.496,208
Riverdale,2017,Percent,0.548,208
Unionport/Soundview,2017,Percent,0.817,209
Unionport/Soundview,2008,Percent,0.772,209
Unionport/Soundview,2007,Percent,0.731,209
Unionport/Soundview,2006,Percent,0.72,209
Unionport/Soundview,2005,Percent,0.726,209
Unionport/Soundview,2018,Percent,0.823,209
Unionport/Soundview,2019,Percent,0.809,209
Unionport/Soundview,2016,Percent,0.825,209
Unionport/Soundview,2015,Percent,0.803,209
Unionport/Soundview,2014,Percent,0.796,209
Unionport/Soundview,2013,Percent,0.809,209
Unionport/Soundview,2012,Percent,0.784,209
Unionport/Soundview,2011,Percent,0.789,209
Unionport/Soundview,2010,Percent,0.77,209
Unionport/Soundview,2009,Percent,0.787,209
Throgs Neck,2009,Percent,0.545,210
Throgs Neck,2010,Percent,0.608,210
Throgs Neck,2011,Percent,0.584,210
Throgs Neck,2012,Percent,0.582,210
Throgs Neck,2013,Percent,0.614,210
Throgs Neck,2014,Percent,0.61,210
Throgs Neck,2015,Percent,0.659,210
Throgs Neck,2016,Percent,0.661,210
Throgs Neck,2019,Percent,0.691,210
Throgs Neck,2018,Percent,0.68,210
Throgs Neck,2005,Percent,0.509,210
Throgs Neck,2006,Percent,0.517,210
Throgs Neck,2007,Percent,0.514,210
Throgs Neck,2008,Percent,0.523,210
Throgs Neck,2017,Percent,0.671,210
Pelham Parkway,2017,Percent,0.744,211
Pelham Parkway,2008,Percent,0.657,211
Pelham Parkway,2007,Percent,0.648,211
Pelham Parkway,2006,Percent,0.644,211
Pelham Parkway,2005,Percent,0.649,211
Pelham Parkway,2018,Percent,0.738,211
Pelham Parkway,2019,Percent,0.755,211
Pelham Parkway,2016,Percent,0.756,211
Pelham Parkway,2015,Percent,0.745,211
Pelham Parkway,2014,Percent,0.699,211
Pelham Parkway,2013,Percent,0.718,211
Pelham Parkway,2012,Percent,0.701,211
Pelham Parkway,2011,Percent,0.71,211
Pelham Parkway,2010,Percent,0.702,211
Pelham Parkway,2009,Percent,0.711,211
Williamsbridge,2009,Percent,0.742,212
Williamsbridge,2010,Percent,0.771,212
Williamsbridge,2011,Percent,0.778,212
Williamsbridge,2012,Percent,0.748,212
Williamsbridge,2013,Percent,0.771,212
Williamsbridge,2014,Percent,0.744,212
Williamsbridge,2015,Percent,0.783,212
Williamsbridge,2016,Percent,0.802,212
Williamsbridge,2019,Percent,0.777,212
Williamsbridge,2018,Percent,0.805,212
Williamsbridge,2005,Percent,0.714,212
Williamsbridge,2006,Percent,0.717,212
Williamsbridge,2007,Percent,0.729,212
Williamsbridge,2008,Percent,0.727,212
Williamsbridge,2017,Percent,0.801,212
Brooklyn,2017,Percent,0.645,36047
Brooklyn,2006,Percent,0.624,36047
Brooklyn,2005,Percent,0.572,36047
Brooklyn,2010,Percent,0.68,36047
Brooklyn,2009,Percent,0.682,36047
Brooklyn,2008,Percent,0.656,36047
Brooklyn,2007,Percent,0.616,36047
Brooklyn,2016,Percent,0.653,36047
Brooklyn,2019,Percent,0.626,36047
Brooklyn,2015,Percent,0.658,36047
Brooklyn,2014,Percent,0.655,36047
Brooklyn,2013,Percent,0.656,36047
Brooklyn,2012,Percent,0.67,36047
Brooklyn,2011,Percent,0.674,36047
Brooklyn,2018,Percent,0.634,36047
Williamsburg/Greenpoint,2018,Percent,0.594,301
Williamsburg/Greenpoint,2019,Percent,0.586,301
Williamsburg/Greenpoint,2016,Percent,0.623,301
Williamsburg/Greenpoint,2015,Percent,0.608,301
Williamsburg/Greenpoint,2014,Percent,0.593,301
Williamsburg/Greenpoint,2013,Percent,0.626,301
Williamsburg/Greenpoint,2012,Percent,0.646,301
Williamsburg/Greenpoint,2011,Percent,0.668,301
Williamsburg/Greenpoint,2010,Percent,0.672,301
Williamsburg/Greenpoint,2009,Percent,0.633,301
Williamsburg/Greenpoint,2017,Percent,0.594,301
Williamsburg/Greenpoint,2008,Percent,0.659,301
Williamsburg/Greenpoint,2007,Percent,0.6,301
Williamsburg/Greenpoint,2006,Percent,0.63,301
Williamsburg/Greenpoint,2005,Percent,0.614,301
Fort Greene/Brooklyn Hts,2005,Percent,0.365,302
Fort Greene/Brooklyn Hts,2006,Percent,0.335,302
Fort Greene/Brooklyn Hts,2007,Percent,0.288,302
Fort Greene/Brooklyn Hts,2008,Percent,0.274,302
Fort Greene/Brooklyn Hts,2017,Percent,0.173,302
Fort Greene/Brooklyn Hts,2009,Percent,0.273,302
Fort Greene/Brooklyn Hts,2010,Percent,0.256,302
Fort Greene/Brooklyn Hts,2011,Percent,0.253,302
Fort Greene/Brooklyn Hts,2012,Percent,0.236,302
Fort Greene/Brooklyn Hts,2013,Percent,0.193,302
Fort Greene/Brooklyn Hts,2014,Percent,0.193,302
Fort Greene/Brooklyn Hts,2015,Percent,0.207,302
Fort Greene/Brooklyn Hts,2016,Percent,0.18,302
Fort Greene/Brooklyn Hts,2019,Percent,0.159,302
Fort Greene/Brooklyn Hts,2018,Percent,0.174,302
Bedford Stuyvesant,2018,Percent,0.659,303
Bedford Stuyvesant,2019,Percent,0.623,303
Bedford Stuyvesant,2016,Percent,0.689,303
Bedford Stuyvesant,2015,Percent,0.706,303
Bedford Stuyvesant,2014,Percent,0.706,303
Bedford Stuyvesant,2013,Percent,0.712,303
Bedford Stuyvesant,2012,Percent,0.74,303
Bedford Stuyvesant,2011,Percent,0.747,303
Bedford Stuyvesant,2010,Percent,0.754,303
Bedford Stuyvesant,2009,Percent,0.745,303
Bedford Stuyvesant,2017,Percent,0.672,303
Bedford Stuyvesant,2008,Percent,0.737,303
Bedford Stuyvesant,2007,Percent,0.721,303
Bedford Stuyvesant,2006,Percent,0.728,303
Bedford Stuyvesant,2005,Percent,0.732,303
Bushwick,2005,Percent,0.833,304
Bushwick,2006,Percent,0.826,304
Bushwick,2007,Percent,0.825,304
Bushwick,2008,Percent,0.836,304
Bushwick,2017,Percent,0.771,304
Bushwick,2009,Percent,0.854,304
Bushwick,2010,Percent,0.841,304
Bushwick,2011,Percent,0.85,304
Bushwick,2012,Percent,0.851,304
Bushwick,2013,Percent,0.84,304
Bushwick,2014,Percent,0.812,304
Bushwick,2015,Percent,0.81,304
Bushwick,2016,Percent,0.77,304
Bushwick,2019,Percent,0.718,304
Bushwick,2018,Percent,0.73,304
East New York,2018,Percent,0.796,305
East New York,2019,Percent,0.785,305
East New York,2016,Percent,0.801,305
East New York,2015,Percent,0.81,305
East New York,2014,Percent,0.808,305
East New York,2013,Percent,0.778,305
East New York,2012,Percent,0.806,305
East New York,2011,Percent,0.79,305
East New York,2010,Percent,0.808,305
East New York,2009,Percent,0.807,305
East New York,2017,Percent,0.807,305
East New York,2008,Percent,0.791,305
East New York,2007,Percent,0.677,305
East New York,2006,Percent,0.687,305
East New York,2005,Percent,0.676,305
Park Slope,2005,Percent,0.234,306
Park Slope,2006,Percent,0.238,306
Park Slope,2007,Percent,0.229,306
Park Slope,2008,Percent,0.202,306
Park Slope,2017,Percent,0.161,306
Park Slope,2009,Percent,0.258,306
Park Slope,2010,Percent,0.195,306
Park Slope,2011,Percent,0.167,306
Park Slope,2012,Percent,0.177,306
Park Slope,2013,Percent,0.162,306
Park Slope,2014,Percent,0.17,306
Park Slope,2015,Percent,0.153,306
Park Slope,2016,Percent,0.168,306
Park Slope,2019,Percent,0.151,306
Park Slope,2018,Percent,0.144,306
Sunset Park,2018,Percent,0.692,307
Sunset Park,2019,Percent,0.713,307
Sunset Park,2016,Percent,0.754,307
Sunset Park,2015,Percent,0.751,307
Sunset Park,2014,Percent,0.785,307
Sunset Park,2013,Percent,0.79,307
Sunset Park,2012,Percent,0.812,307
Sunset Park,2011,Percent,0.795,307
Sunset Park,2010,Percent,0.802,307
Sunset Park,2009,Percent,0.832,307
Sunset Park,2017,Percent,0.754,307
Sunset Park,2008,Percent,0.801,307
Sunset Park,2007,Percent,0.749,307
Sunset Park,2006,Percent,0.762,307
Sunset Park,2005,Percent,0.568,307
Crown Heights North,2005,Percent,0.658,308
Crown Heights North,2006,Percent,0.648,308
Crown Heights North,2007,Percent,0.657,308
Crown Heights North,2008,Percent,0.635,308
Crown Heights North,2017,Percent,0.485,308
Crown Heights North,2009,Percent,0.647,308
Crown Heights North,2010,Percent,0.635,308
Crown Heights North,2011,Percent,0.608,308
Crown Heights North,2012,Percent,0.584,308
Crown Heights North,2013,Percent,0.58,308
Crown Heights North,2014,Percent,0.56,308
Crown Heights North,2015,Percent,0.538,308
Crown Heights North,2016,Percent,0.503,308
Crown Heights North,2019,Percent,0.446,308
Crown Heights North,2018,Percent,0.47,308
Crown Heights South,2018,Percent,0.672,309
Crown Heights South,2019,Percent,0.638,309
Crown Heights South,2016,Percent,0.696,309
Crown Heights South,2015,Percent,0.674,309
Crown Heights South,2014,Percent,0.697,309
Crown Heights South,2013,Percent,0.674,309
Crown Heights South,2012,Percent,0.716,309
Crown Heights South,2011,Percent,0.719,309
Crown Heights South,2010,Percent,0.715,309
Crown Heights South,2009,Percent,0.74,309
Crown Heights South,2017,Percent,0.644,309
Crown Heights South,2008,Percent,0.682,309
Crown Heights South,2007,Percent,0.696,309
Crown Heights South,2006,Percent,0.689,309
Crown Heights South,2005,Percent,0.665,309
Bay Ridge,2005,Percent,0.354,310
Bay Ridge,2006,Percent,0.447,310
Bay Ridge,2007,Percent,0.445,310
Bay Ridge,2008,Percent,0.524,310
Bay Ridge,2017,Percent,0.574,310
Bay Ridge,2009,Percent,0.565,310
Bay Ridge,2010,Percent,0.554,310
Bay Ridge,2011,Percent,0.548,310
Bay Ridge,2012,Percent,0.542,310
Bay Ridge,2013,Percent,0.568,310
Bay Ridge,2014,Percent,0.59,310
Bay Ridge,2015,Percent,0.572,310
Bay Ridge,2016,Percent,0.574,310
Bay Ridge,2019,Percent,0.572,310
Bay Ridge,2018,Percent,0.567,310
Bensonhurst,2018,Percent,0.753,311
Bensonhurst,2019,Percent,0.742,311
Bensonhurst,2016,Percent,0.726,311
Bensonhurst,2015,Percent,0.724,311
Bensonhurst,2014,Percent,0.703,311
Bensonhurst,2013,Percent,0.704,311
Bensonhurst,2012,Percent,0.683,311
Bensonhurst,2011,Percent,0.692,311
Bensonhurst,2010,Percent,0.674,311
Bensonhurst,2009,Percent,0.685,311
Bensonhurst,2017,Percent,0.72,311
Bensonhurst,2008,Percent,0.632,311
Bensonhurst,2007,Percent,0.53,311
Bensonhurst,2006,Percent,0.536,311
Bensonhurst,2005,Percent,0.43,311
Borough Park,2005,Percent,0.544,312
Borough Park,2006,Percent,0.683,312
Borough Park,2007,Percent,0.676,312
Borough Park,2008,Percent,0.727,312
Borough Park,2017,Percent,0.794,312
Borough Park,2009,Percent,0.76,312
Borough Park,2010,Percent,0.799,312
Borough Park,2011,Percent,0.783,312
Borough Park,2012,Percent,0.783,312
Borough Park,2013,Percent,0.79,312
Borough Park,2014,Percent,0.781,312
Borough Park,2015,Percent,0.798,312
Borough Park,2016,Percent,0.788,312
Borough Park,2019,Percent,0.787,312
Borough Park,2018,Percent,0.785,312
Coney Island,2018,Percent,0.719,313
Coney Island,2019,Percent,0.74,313
Coney Island,2016,Percent,0.765,313
Coney Island,2015,Percent,0.729,313
Coney Island,2014,Percent,0.734,313
Coney Island,2013,Percent,0.742,313
Coney Island,2012,Percent,0.711,313
Coney Island,2011,Percent,0.716,313
Coney Island,2010,Percent,0.727,313
Coney Island,2009,Percent,0.738,313
Coney Island,2017,Percent,0.751,313
Coney Island,2008,Percent,0.706,313
Coney Island,2007,Percent,0.581,313
Coney Island,2006,Percent,0.655,313
Coney Island,2005,Percent,0.615,313
Flatbush/Midwood,2005,Percent,0.58,314
Flatbush/Midwood,2006,Percent,0.63,314
Flatbush/Midwood,2007,Percent,0.614,314
Flatbush/Midwood,2008,Percent,0.637,314
Flatbush/Midwood,2017,Percent,0.646,314
Flatbush/Midwood,2009,Percent,0.681,314
Flatbush/Midwood,2010,Percent,0.685,314
Flatbush/Midwood,2011,Percent,0.673,314
Flatbush/Midwood,2012,Percent,0.679,314
